oldidentifierfrompreviousfile,fid,src_agency,latitude,longitude,date,sizeha,cause,protzone,ecoz_name,wildlat1,coordinates,Unnamed: 0_y,coordinates1,climlatitude,climlongitude,firelat_radians,firelong_radians,climlat_radians,climlong_radians,distance_km
48310,329253,QC,50.2586,-66.3239,24-07-2017,3,H,Intensive,Boreal Shield East,"(50, 55]","50.2586,-66.3239",172,"50.2233,-66.2656",50.2233,-66.2656,0.877178047,-1.157570428,0.876561946,-1.156552901,5.705777717
48311,329254,QC,50.2332,-66.3845,25-07-2017,0,H,Intensive,Boreal Shield East,"(50, 55]","50.2332,-66.3845",172,"50.2233,-66.2656",50.2233,-66.2656,0.876734734,-1.158628097,0.876561946,-1.156552901,8.523911839
48312,329255,QC,50.0754,-66.8202,31-07-2017,1.2,L,Intensive,Boreal Shield East,"(50, 55]","50.0754,-66.8202",149,"50.1625,-66.4339",50.1625,-66.4339,0.873980604,-1.166232497,0.875500786,-1.15949029,29.17716977
48313,329256,QC,50.6105,-67.3955,31-07-2017,31.3,L,Intensive,Boreal Shield East,"(50, 55]","50.6105,-67.3955",149,"50.1625,-66.4339",50.1625,-66.4339,0.883319861,-1.176273376,0.875500786,-1.15949029,84.38241389
48314,329257,QC,50.2202,-67.1262,02-08-2017,0,L,Intensive,Boreal Shield East,"(50, 55]","50.2202,-67.1262",149,"50.1625,-66.4339",50.1625,-66.4339,0.876507841,-1.171573204,0.875500786,-1.15949029,49.66920437
48315,329258,QC,49.5547,-67.2935,10-08-2017,5.5,H,Intensive,Boreal Shield East,"(45, 50]","49.5547,-67.2935",53,"49.3167,-67.6167",49.3167,-67.6167,0.864892675,-1.17449314,0.860738791,-1.180134044,35.28429714
48316,329259,QC,50.6939,-67.4954,21-08-2017,0.4,L,Intensive,Boreal Shield East,"(50, 55]","50.6939,-67.4954",149,"50.1625,-66.4339",50.1625,-66.4339,0.884775466,-1.17801696,0.875500786,-1.15949029,95.57005005
48317,329340,QC,50.839,-70.1365,06-08-2018,0.6,L,Intensive,Boreal Shield East,"(50, 55]","50.839,-70.1365",117,"50.6564,-70.5319",50.6564,-70.5319,0.887307938,-1.224112851,0.884120967,-1.231013883,34.41908099
48318,329341,QC,51.2192,-70.6838,08-06-2017,106.4,L,Intensive,Boreal Shield East,"(50, 55]","51.2192,-70.6838",93,"51.5325,-71.1108",51.5325,-71.1108,0.89394368,-1.233665038,0.899411797,-1.241117594,45.70982262
48319,329342,QC,50.9787,-69.2504,29-06-2017,0.6,L,Intensive,Boreal Shield East,"(50, 55]","50.9787,-69.2504",117,"50.6564,-70.5319",50.6564,-70.5319,0.889746163,-1.208647488,0.884120967,-1.231013883,96.83649297
48320,329351,QC,50.3876,-62.9697,08-06-2019,0,H,nordique,Boreal Shield East,"(50, 55]","50.3876,-62.9697",136,"50.19,-61.8108",50.19,-61.8108,0.879429522,-1.099028594,0.875980752,-1.078801973,85.16031604
48321,329352,QC,50.3642,-62.9743,09-06-2019,0,H,nordique,Boreal Shield East,"(50, 55]","50.3642,-62.9743",136,"50.19,-61.8108",50.19,-61.8108,0.879021115,-1.099108879,0.875980752,-1.078801973,84.86493867
48322,329353,QC,50.6964,-62.36,13-06-2019,0.1,H,nordique,Boreal Shield East,"(50, 55]","50.6964,-62.36",136,"50.19,-61.8108",50.19,-61.8108,0.884819099,-1.088387322,0.875980752,-1.078801973,68.39062674
48323,329354,QC,50.2769,-65.8676,12-07-2019,2.8,L,Intensive,Boreal Shield East,"(50, 55]","50.2769,-65.8676",166,"50.2167,-66.25",50.2167,-66.25,0.877497443,-1.14960649,0.876446754,-1.156280629,27.98558876
