,FID,SRC_AGENCY,LATITUDE,LONGITUDE,REP_DATE,SIZE_HA,CAUSE,PROTZONE,ECOZ_NAME,FireLocation,WeatherLocation,x,y,MAX_REL_HUMIDITY,LOCAL_DAY,ID,MEAN_TEMPERATURE,MIN_REL_HUMIDITY,PROVINCE_CODE,LOCAL_MONTH,TOTAL_RAIN,STATION_NAME,SPEED_MAX_GUST,TOTAL_PRECIPITATION,CLIMATE_IDENTIFIER,MAX_TEMPERATURE,LOCAL_YEAR,TOTAL_SNOW,MIN_TEMPERATURE,SNOW_ON_GROUND,Class
215,370693,QC,49.2537,-69.5188,2020-05-12,0.0,L,intensive,Boreal Shield East,"(49.2537, -69.5188)","48.25805555555556,-69.52277777777778",-69.52277777777778,48.25805555555556,91.1,12.0,7042845.2020.5.12,0.1,59.8,QC,5.0,0.0,GRANDES-BERGERONNES,44.0,0.0,7042845,4.4,2020.0,0.0,-4.1,0.0,0
216,370696,QC,49.0498,-69.4813,2020-05-12,0.0,L,intensive,Boreal Shield East,"(49.0498, -69.4813)","48.25805555555556,-69.52277777777778",-69.52277777777778,48.25805555555556,91.1,12.0,7042845.2020.5.12,0.1,59.8,QC,5.0,0.0,GRANDES-BERGERONNES,44.0,0.0,7042845,4.4,2020.0,0.0,-4.1,0.0,0
217,370709,QC,49.2019,-69.7276,2020-05-12,0.0,L,intensive,Boreal Shield East,"(49.2019, -69.7276)","48.25805555555556,-69.52277777777778",-69.52277777777778,48.25805555555556,91.1,12.0,7042845.2020.5.12,0.1,59.8,QC,5.0,0.0,GRANDES-BERGERONNES,44.0,0.0,7042845,4.4,2020.0,0.0,-4.1,0.0,0
218,370730,QC,49.6467,-77.10469999999998,2020-05-11,0.0,L,intensive,Boreal Shield East,"(49.6467, -77.10469999999998)","49.757783333333336,-77.79307222222222",-77.79307222222222,49.757783333333336,91.1,11.0,7094637.2020.5.11,-6.2,59.8,QC,5.0,0.0,MATAGAMI,50.0,0.0,7094637,-1.0,2020.0,0.0,-11.4,0.0,0
219,370736,QC,48.2647,-70.9815,2020-05-21,0.0,L,intensive,Boreal Shield East,"(48.2647, -70.9815)","48.29810333333333,-70.91953694444445",-70.91953694444445,48.29810333333333,91.1,21.0,706Q001.2020.5.21,5.286666666666667,14.0,QC,5.0,0.0,LA BAIE,55.0,0.0,706Q001,14.3,2020.0,0.0,-4.1,0.0,0
220,370764,QC,48.1504,-69.8038,2020-05-25,0.0,L,intensive,Boreal Shield East,"(48.1504, -69.8038)","48.13555555555556,-69.71638888888889",-69.71638888888889,48.13555555555556,91.1,25.0,7046059.2020.5.25,14.9,59.8,QC,5.0,0.0,POINTE DE L'ISLET,48.0,0.0,7046059,18.8,2020.0,0.0,-4.1,0.0,0
221,370765,QC,48.2056,-69.8106,2020-05-16,0.0,L,intensive,Boreal Shield East,"(48.2056, -69.8106)","48.13555555555556,-69.71638888888889",-69.71638888888889,48.13555555555556,91.1,16.0,7046059.2020.5.16,9.9,39.46666666666667,QC,5.0,0.0,POINTE DE L'ISLET,46.0,0.0,7046059,14.3,2020.0,0.0,-4.1,0.0,0
222,370766,QC,49.1517,-65.2002,2020-05-25,0.0,L,intensive,Atlantic Maritime,"(49.1517, -65.2002)","49.25083333333333,-65.32472222222222",-65.32472222222222,49.25083333333333,91.1,25.0,7051163.2020.5.25,18.846666666666668,59.8,QC,5.0,0.0,CAP-MADELEINE,31.0,0.0,7051163,22.3,2020.0,0.0,11.5,0.0,0
223,370767,QC,46.4672,-72.79399999999998,2020-06-06,0.0,L,intensive,MixedWood Plain,"(46.4672, -72.79399999999998)","46.35166666666667,-72.68055555555556",-72.68055555555556,46.35166666666667,91.1,6.0,7018561.2020.6.6,4.673333333333333,59.8,QC,6.0,0.0,TROIS RIVIERES A,61.0,0.0,7018561,14.3,2020.0,0.0,-4.1,0.0,0
224,370773,QC,49.5702,-69.6531,2020-05-25,0.0,L,intensive,Boreal Shield East,"(49.5702, -69.6531)","48.25805555555556,-69.52277777777778",-69.52277777777778,48.25805555555556,91.1,25.0,7042845.2020.5.25,1.75,59.8,QC,5.0,0.0,GRANDES-BERGERONNES,45.0,0.0,7042845,14.3,2020.0,0.0,1.7,0.0,0
